AAAABBBBCCCCDDDD||......., 0
CDDB..BDDBAA..CC||.ACBA.., 10000000
CDDB..BDDBAA...C||.ACBCA., 10000000
CDDB..BDDBAA..CC||.ACB.A., 10000000
CDDB..BD..AA..CC||.ACBBDA, 10000000
CDDB..BD.BAA...C||.ACBCDA, 10000000
CDDB..BD.BAA..CC||.ACB.DA, 10000000
CDDB..BDDBAA....||.ACBCCA, 10000000
CDDB..BDDBAA...C||.ACBC.A, 10000000
CDDB..BDDBAA...C||.ACB.CA, 10000000
CDDB..BDDBAA..CC||.ACB..A, 10000000
CDDB..BDDBAA.ACC||.ACB..., 10000000
CDDB.CBD.BAA..CC||.A.BDA., 10000000
CDDB.CBD.BAA...C||.A.BDCA, 10000000
CDDB.CBD.BAA..CC||.A.BD.A, 10000000
CDDB.CBD.BAA.ACC||.A.BD.., 10000000
CDDB.CBDDBAA...C||.A.BAC., 10000000
CDDB.CBDDBAA....||.A.BACC, 10000000
CDDB.CBDDBAA...C||.A.BA.C, 10000000
CDDB.CBDDBAA..CC||.A.BA.., 10000000
CDDB.CBDDBAA...C||.A.BCA., 10000000
CDDB.CBDDBAA..CC||.A.B.A., 10000000
CDDB.CBD..AA..CC||.A.BBDA, 10000000
CDDB.CBD.BAA...C||.A.BCDA, 10000000
CDDB.CBD.BAA..CC||.A.B.DA, 10000000
CDDB.CBDDBAA....||.A.BCCA, 10000000
CDDB.CBDDBAA...C||.A.BC.A, 10000000
CDDB.CBDDBAA...C||.A.B.CA, 10000000
CDDB.CBDDBAA..CC||.A.B..A, 10000000
CDDB.CBDDBAA.ACC||.A.B..., 10000000
..DB.CBDDBAA..CC||.ADCBA., 10000000
..DB.CBDDBAA...C||.ADCBCA, 10000000
..DB.CBDDBAA..CC||.ADCB.A, 10000000
..DB.CBDDBAA.ACC||.ADCB.., 10000000
.DDB.CBDDBAA..CC||.A.CBA., 10000000
.DDB.CBDDBAA...C||.A.CBCA, 10000000
.DDB.CBDDBAA..CC||.A.CB.A, 10000000
.DDB.CBDDBAA.ACC||.A.CB.., 10000000
CDDB...DDBAA..CC||.ACBBA., 10000000
CDDB...DDBAA...C||.ACBBCA, 10000000
CDDB...DDBAA..CC||.ACBB.A, 10000000
CDDB...DDBAA.ACC||.ACBB.., 10000000
CDDB..BD.BAA..CC||.ACDBA., 10000000
CDDB..BD.BAA...C||.ACDBCA, 10000000
CDDB..BD.BAA..CC||.ACDB.A, 10000000
CDDB..BD.BAA.ACC||.ACDB.., 10000000
CDDB..BDDBAA..CC||.AC.BA., 10000000
CDDB..BDDBAA...C||.AC.BCA, 10000000
CDDB..BDDBAA..CC||.AC.B.A, 10000000
CDDB..BDDBAA.ACC||.AC.B.., 10000000
CDDB...DDBAA..CC||.ABCBA., 10000000
CDDB...DDBAA...C||.ABCBCA, 10000000
CDDB...DDBAA..CC||.ABCB.A, 10000000
CDDB...DDBAA.ACC||.ABCB.., 10000000
CDDB..BDDBAA..CC||.A.CBA., 10000000
CDDB..BDDBAA...C||.A.CBCA, 10000000
CDDB..BDDBAA..CC||.A.CB.A, 10000000
CDDB..BDDBAA.ACC||.A.CB.., 10000000
CDDB..BD.BAA..CC||.ADCBA., 10000000
CDDB..BD.BAA...C||.ADCBCA, 10000000
CDDB..BD.BAA..CC||.ADCB.A, 10000000
CDDB..BD.BAA.ACC||.ADCB.., 10000000
CDDB.CBD..AA..CC||.ADBBA., 10000000
CDDB.CBD..AA...C||.ADBBCA, 10000000
CDDB.CBD..AA..CC||.ADBB.A, 10000000
CDDB.CBD..AA.ACC||.ADBB.., 10000000
CDDB.CBD.BAA..CC||.AD.BA., 10000000
CDDB.CBD.BAA...C||.AD.BCA, 10000000
CDDB.CBD.BAA..CC||.AD.B.A, 10000000
CDDB.CBD.BAA.ACC||.AD.B.., 10000000
CDDB.CBD.BAA..CC||.A.DBA., 10000000
CDDB.CBD.BAA...C||.A.DBCA, 10000000
CDDB.CBD.BAA..CC||.A.DB.A, 10000000
CDDB.CBD.BAA.ACC||.A.DB.., 10000000
CDDB.CBDDBAA..CC||.A..BA., 10000000
CDDB.CBDDBAA...C||.A..BCA, 10000000
CDDB.CBDDBAA..CC||.A..B.A, 10000000
CDDB.CBDDBAA.ACC||.A..B.., 10000000
CDDB.CBD.BAA...C||.ADBAC., 10000000
CDDB.CBD.BAA....||.ADBACC, 10000000
CDDB.CBD.BAA...C||.ADBA.C, 10000000
CDDB.CBD.BAA..CC||.ADBA.., 10000000
CDDB.CBD.BAA...C||.ADBCA., 10000000
CDDB.CBD.BAA..CC||.ADB.A., 10000000
CDDB.CBD...A..CC||.ADBABA, 10000000
CDDB.CBD..AA...C||.ADBCBA, 10000000
CDDB.CBD..AA..CC||.ADB.BA, 10000000
CDDB.CBD.BAA....||.ADBCCA, 10000000
CDDB.CBD.BAA...C||.ADBC.A, 10000000
CDDB.CBD.BAA...C||.ADB.CA, 10000000
CDDB.CBD.BAA..CC||.ADB..A, 10000000
CDDB.CBD.BAA.ACC||.ADB..., 10000000
CDDBBCBD...A..CC||.ADBAA., 10000000
CDDBBCBD...A...C||.ADBACA, 10000000
CDDBBCBD...A..CC||.ADBA.A, 10000000
CDDBBCBD...A.ACC||.ADBA.., 10000000
CDDBBCBD.....ACC||.ADBAA., 10000000
CDDBBCBD...A.ACC||.ADB.A., 10000000
CDDBBCBD......CC||.ADBAAA, 10000000
CDDBBCBD.....ACC||.ADBA.A, 10000000
CDDBBCBD.....ACC||.ADB.AA, 10000000
CDDBBCBD...A...C||.ADBCAA, 10000000
CDDBBCBD...A..CC||.ADB.AA, 10000000
CDDBBCBD...A.ACC||.ADB..A, 10000000
CDDBBCBD..AA...C||.ADBAC., 10000000
CDDBBCBD..AA....||.ADBACC, 10000000
CDDBBCBD..AA...C||.ADBA.C, 10000000
CDDBBCBD..AA..CC||.ADBA.., 10000000
CDDBBCBD..AA...C||.ADBCA., 10000000
CDDBBCBD..AA..CC||.ADB.A., 10000000
CDDBBCBD..AA....||.ADBCCA, 10000000
CDDBBCBD..AA...C||.ADBC.A, 10000000
CDDBBCBD..AA...C||.ADB.CA, 10000000
CDDBBCBD..AA..CC||.ADB..A, 10000000
CDDBBCBD..AA.ACC||.ADB..., 10000000
CDDBBCBD...A..CC||.ADABA., 10000000
CDDBBCBD...A...C||.ADABCA, 10000000
CDDBBCBD...A..CC||.ADAB.A, 10000000
CDDBBCBD...A.ACC||.ADAB.., 10000000
CDDBBCBD..AA..CC||.AD.BA., 10000000
CDDBBCBD..AA...C||.AD.BCA, 10000000
CDDBBCBD..AA..CC||.AD.B.A, 10000000
CDDBBCBD..AA.ACC||.AD.B.., 10000000
CDDBBCBD.....ACC||.ADAAB., 10000000
CDDBBCBD...A..CC||.ADAAB., 10000000
CDDBBCBD...A.ACC||.ADA.B., 10000000
CDDBBCBD...A.ACC||.AD.AB., 10000000
CDDBBCBD..AA...C||.ADACB., 10000000
CDDBBCBD..AA..CC||.ADA.B., 10000000
CDDBBCBD..AA..CC||.AD.AB., 10000000
CDDBBCBD..AA.ACC||.AD..B., 10000000
CDDBBCBD......CC||.ADAAAB, 10000000
CDDBBCBD.....ACC||.ADAA.B, 10000000
CDDBBCBD.....ACC||.ADA.AB, 10000000
CDDBBCBD...A...C||.ADAACB, 10000000
CDDBBCBD...A..CC||.ADAA.B, 10000000
CDDBBCBD...A...C||.ADACAB, 10000000
CDDBBCBD...A..CC||.ADA.AB, 10000000
CDDBBCBD...A.ACC||.ADA..B, 10000000
CDDBBCBD...A..CC||.AD.AAB, 10000000
CDDBBCBD...A.ACC||.AD.A.B, 10000000
CDDB..BD...A.ACC||.ADCBAB, 10000000
CDDB.CBD.....ACC||.ADABAB, 10000000
CDDB.CBD...A.ACC||.AD.BAB, 10000000
CDDBBCBD.....ACC||.AD.AAB, 10000000
CDDBBCBD...A.ACC||.AD..AB, 10000000
CDDBBCBD..AA....||.ADACCB, 10000000
CDDBBCBD..AA...C||.ADAC.B, 10000000
CDDBBCBD..AA...C||.ADA.CB, 10000000
CDDBBCBD..AA..CC||.ADA..B, 10000000
CDDBBCBD..AA...C||.AD.ACB, 10000000
CDDBBCBD..AA..CC||.AD.A.B, 10000000
CDDBBCBD...A...C||.ADCAAB, 10000000
CDDBBCBD..AA....||.ADCCAB, 10000000
CDDBBCBD..AA...C||.ADC.AB, 10000000
CDDBBCBD..AA...C||.AD.CAB, 10000000
CDDBBCBD..AA..CC||.AD..AB, 10000000
CDDBBCBD..AA.ACC||.AD...B, 10000000
CDDBBCBD..AA...C||.ADABC., 10000000
CDDBBCBD..AA....||.ADABCC, 10000000
CDDBBCBD..AA...C||.ADAB.C, 10000000
CDDBBCBD..AA..CC||.ADAB.., 10000000
CDDBBCBD.BAA....||.ADACC., 10000000
CDDBBCBD.BAA....||.ADAC.C, 10000000
CDDBBCBD.BAA...C||.ADAC.., 10000000
CDDBBCBD.BAA...C||.ADA.C., 10000000
CDDBBCBD...A...C||.ADAABC, 10000000
CDDBBCBD..AA....||.ADACBC, 10000000
CDDBBCBD..AA...C||.ADA.BC, 10000000
CDDBBCBD.BAA....||.ADA.CC, 10000000
CDDBBCBD.BAA...C||.ADA..C, 10000000
CDDBBCBD.BAA..CC||.ADA..., 10000000
CDDBBCBD.BAA...C||.AD.AC., 10000000
CDDBBCBD.BAA....||.AD.ACC, 10000000
CDDBBCBD.BAA...C||.AD.A.C, 10000000
CDDBBCBD.BAA..CC||.AD.A.., 10000000
CDDBBCBD..AA...C||.ADCBA., 10000000
CDDBBCBD.BAA....||.ADCCA., 10000000
CDDBBCBD.BAA...C||.ADC.A., 10000000
CDDBBCBD.BAA...C||.AD.CA., 10000000
CDDBBCBD.BAA..CC||.AD..A., 10000000
CDDB..BD..AA..CC||.ADCBBA, 10000000
CDDB..BD.BAA...C||.ADCCBA, 10000000
CDDB..BD.BAA..CC||.ADC.BA, 10000000
CDDB...D.BAA..CC||.ADBCBA, 10000000
CDDB..BD..AA..CC||.ADBCBA, 10000000
CDDB..BD.BAA..CC||.AD.CBA, 10000000
CDDB.CBD...A..CC||.ADABBA, 10000000
CDDB.CBD..AA..CC||.AD.BBA, 10000000
CDDB.CBD..AA...C||.ADCBBA, 10000000
CDDB.CBD.BAA....||.ADCCBA, 10000000
CDDB.CBD.BAA...C||.ADC.BA, 10000000
CDDB.CBD.BAA...C||.AD.CBA, 10000000
CDDB.CBD.BAA..CC||.AD..BA, 10000000
CDDBBCBD......CC||.ADAABA, 10000000
CDDBBCBD...A...C||.ADACBA, 10000000
CDDBBCBD...A..CC||.ADA.BA, 10000000
CDDBBCBD...A..CC||.AD.ABA, 10000000
CDDBBCBD...A...C||.ADCABA, 10000000
CDDBBCBD..AA....||.ADCCBA, 10000000
CDDBBCBD..AA...C||.ADC.BA, 10000000
CDDBBCBD..AA...C||.AD.CBA, 10000000
CDDBBCBD..AA..CC||.AD..BA, 10000000
CDDBBCBD..AA....||.ADCBCA, 10000000
CDDBBCBD..AA...C||.ADCB.A, 10000000
CDDBBCBD.BAA....||.ADCC.A, 10000000
CDDBBCBD.BAA....||.ADC.CA, 10000000
CDDBBCBD.BAA...C||.ADC..A, 10000000
CDDBBCBD.BAA....||.AD.CCA, 10000000
CDDBBCBD.BAA...C||.AD.C.A, 10000000
CDDBBCBD.BAA...C||.AD..CA, 10000000
CDDBBCBD.BAA..CC||.AD...A, 10000000
CDDBBCBD.BAA.ACC||.AD...., 10000000
CDDBBCBD..AA..CC||.A.DBA., 10000000
CDDBBCBD..AA...C||.A.DBCA, 10000000
CDDBBCBD..AA..CC||.A.DB.A, 10000000
CDDBBCBD..AA.ACC||.A.DB.., 10000000
CDDBBCBD...A.ACC||.A.DAB., 10000000
CDDBBCBD..AA..CC||.A.DAB., 10000000
CDDBBCBD..AA.ACC||.A.D.B., 10000000
CDDBBCBD...A..CC||.A.DAAB, 10000000
CDDBBCBD...A.ACC||.A.DA.B, 10000000
CDDBBCBD.....ACC||.A.DAAB, 10000000
CDDBBCBD...A.ACC||.A.D.AB, 10000000
CDDBBCBD..AA...C||.A.DACB, 10000000
CDDBBCBD..AA..CC||.A.DA.B, 10000000
CDDBBCBD..AA...C||.A.DCAB, 10000000
CDDBBCBD..AA..CC||.A.D.AB, 10000000
CDDBBCBD..AA.ACC||.A.D..B, 10000000
CDDBBCBD.BAA...C||.A.DAC., 10000000
CDDBBCBD.BAA....||.A.DACC, 10000000
CDDBBCBD.BAA...C||.A.DA.C, 10000000
CDDBBCBD.BAA..CC||.A.DA.., 10000000
CDDBBCBD.BAA...C||.A.DCA., 10000000
CDDBBCBD.BAA..CC||.A.D.A., 10000000
CDDBBCBD...A..CC||.A.DABA, 10000000
CDDBBCBD..AA...C||.A.DCBA, 10000000
CDDBBCBD..AA..CC||.A.D.BA, 10000000
CDDBBCBD.BAA....||.A.DCCA, 10000000
CDDBBCBD.BAA...C||.A.DC.A, 10000000
CDDBBCBD.BAA...C||.A.D.CA, 10000000
CDDBBCBD.BAA..CC||.A.D..A, 10000000
CDDBBCBD.BAA.ACC||.A.D..., 10000000
CDDBBCBD...A..CC||.ABADA., 10000000
CDDBBCBD...A...C||.ABADCA, 10000000
CDDBBCBD...A..CC||.ABAD.A, 10000000
CDDBBCBD...A.ACC||.ABAD.., 10000000
CDDBBCBD..AA..CC||.AB.DA., 10000000
CDDBBCBD..AA...C||.AB.DCA, 10000000
CDDBBCBD..AA..CC||.AB.D.A, 10000000
CDDBBCBD..AA.ACC||.AB.D.., 10000000
CDDBBCBD..AA..CC||.A.BDA., 10000000
CDDBBCBD..AA...C||.A.BDCA, 10000000
CDDBBCBD..AA..CC||.A.BD.A, 10000000
CDDBBCBD..AA.ACC||.A.BD.., 10000000
CDDBBCBD.BAA..CC||.A..DA., 10000000
CDDBBCBD.BAA...C||.A..DCA, 10000000
CDDBBCBD.BAA..CC||.A..D.A, 10000000
CDDBBCBD.BAA.ACC||.A..D.., 10000000
CDDB.CBD.BAA...C||.AABDC., 10000000
CDDB.CBD..AA...D||.AABBCC, 10000000
CDDB.CBD.BAA...D||.AAB.CC, 10000000
CDDB.CBD.BAA....||.AABDCC, 10000000
CDDB.CBD.BAA...C||.AABD.C, 10000000
CDDB.CBD.BAA..CC||.AABD.., 10000000
CDDB.CBDDBAA....||.AABCC., 10000000
CDDB.CBDDBAA....||.AABC.C, 10000000
CDDB.CBDDBAA...C||.AABC.., 10000000
CDDB.CBDDBAA...C||.AAB.C., 10000000
CDDB.CBD..AA...C||.AABBDC, 10000000
CDDB.CBD.BAA...D||.AABC.C, 10000000
CDDB.CBD.BAA....||.AABCDC, 10000000
CDDB.CBD.BAA...C||.AAB.DC, 10000000
CDDB.CBDDBAA....||.AAB.CC, 10000000
CDDB.CBDDBAA...C||.AAB..C, 10000000
CDDB.CBDDBAA..CC||.AAB..., 10000000
CDDB..BDDBAA...C||.AACBC., 10000000
CDDB..BDDBAA....||.AACBCC, 10000000
CDDB..BDDBAA...C||.AACB.C, 10000000
CDDB..BDDBAA..CC||.AACB.., 10000000
CDDB.CBD.BAA...C||.AADBC., 10000000
CDDB.CBD.BAA....||.AADBCC, 10000000
CDDB.CBD.BAA...C||.AADB.C, 10000000
CDDB.CBD.BAA..CC||.AADB.., 10000000
CDDB.CBDDBAA...C||.AA.BC., 10000000
CDDB.CBDDBAA....||.AA.BCC, 10000000
CDDB.CBDDBAA...C||.AA.B.C, 10000000
CDDB.CBDDBAA..CC||.AA.B.., 10000000
CDDBBCBD..AA...C||.AADBC., 10000000
CDDBBCBD..AA....||.AADBCC, 10000000
CDDBBCBD..AA...C||.AADB.C, 10000000
CDDBBCBD..AA..CC||.AADB.., 10000000
CDDBBCBD...A..CC||.AADAB., 10000000
CDDBBCBD..AA...C||.AADCB., 10000000
CDDBBCBD..AA..CC||.AAD.B., 10000000
CDDBBCBD...A...C||.AADACB, 10000000
CDDBBCBD...A..CC||.AADA.B, 10000000
CDDBBCBD......CC||.AADAAB, 10000000
CDDBBCBD...A...C||.AADCAB, 10000000
CDDBBCBD...A..CC||.AAD.AB, 10000000
CDDBBCBD..AA....||.AADCCB, 10000000
CDDBBCBD..AA...C||.AADC.B, 10000000
CDDBBCBD..AA...C||.AAD.CB, 10000000
CDDBBCBD..AA..CC||.AAD..B, 10000000
CDDBBCBD.BAA....||.AADCC., 10000000
CDDBBCBD.BAA....||.AADC.C, 10000000
CDDBBCBD.BAA...C||.AADC.., 10000000
CDDBBCBD.BAA...C||.AAD.C., 10000000
CDDBBCBD...A...C||.AADABC, 10000000
CDDBBCBD..AA....||.AADCBC, 10000000
CDDBBCBD..AA...C||.AAD.BC, 10000000
CDDB..BD.BAA...D||.AACBCC, 10000000
CDDB.CBD.BAA...D||.AA.BCC, 10000000
CDDBBCBD...A...D||.AABACC, 10000000
CDDBBCBD..AA...D||.AAB.CC, 10000000
CDDBBCBD...A...D||.AAABCC, 10000000
CDDBBCBD..AA...D||.AA.BCC, 10000000
CDDBBCBD.BAA...D||.AA..CC, 10000000
CDDBBCBD.BAA....||.AAD.CC, 10000000
CDDBBCBD.BAA...C||.AAD..C, 10000000
CDDBBCBD.BAA..CC||.AAD..., 10000000
CDDBBCBD..AA...C||.AABDC., 10000000
CDDBBCBD..AA....||.AABDCC, 10000000
CDDBBCBD..AA...C||.AABD.C, 10000000
CDDBBCBD..AA..CC||.AABD.., 10000000
CDDBBCBD.BAA...C||.AA.DC., 10000000
CDDBBCBD.BAA....||.AA.DCC, 10000000
CDDBBCBD.BAA...C||.AA.D.C, 10000000
CDDBBCBD.BAA..CC||.AA.D.., 10000000
CDDBBCBD..AA...D||.AACBC., 10000000
CDDBBCBD.BAA...D||.AAC.C., 10000000
CDDBBCBD.BAA....||.AACDC., 10000000
CDDBBCBD..AA...D||.AACB.C, 10000000
CDDBBCBD...A...D||.AACABC, 10000000
CDDBBCBD..AA...D||.AAC.BC, 10000000
CDDBBCBD.BAA...D||.AAC..C, 10000000
CDDBBCBD.BAA....||.AACD.C, 10000000
CDDBBCBD.BAA...C||.AACD.., 10000000
CDDBBCBDDBAA....||.AACC.., 10000000
CDDBBCBDDBAA....||.AAC.C., 10000000
CDDBBCBDDBAA....||.AAC..C, 10000000
CDDBBCBDDBAA...C||.AAC..., 10000000
CDDBBCBDDBAA....||.AA.CC., 10000000
CDDBBCBDDBAA....||.AA.C.C, 10000000
CDDBBCBDDBAA...C||.AA.C.., 10000000
CDDBBCBDDBAA...C||.AA..C., 10000000
CDDB..BD.BAA...C||.AACDBC, 10000000
CDDB..BDDBAA....||.AACCBC, 10000000
CDDB..BDDBAA...C||.AAC.BC, 10000000
CDDB...DDBAA...C||.AABCBC, 10000000
CDDB..BD.BAA...C||.AADCBC, 10000000
CDDB..BDDBAA...C||.AA.CBC, 10000000
CDDB.CBD..AA...C||.AADBBC, 10000000
CDDB.CBD.BAA....||.AADCBC, 10000000
CDDB.CBD.BAA...C||.AAD.BC, 10000000
CDDB.CBD..AA...C||.AABDBC, 10000000
CDDB.CBD.BAA...C||.AA.DBC, 10000000
CDDB.CBD..AA...D||.AACBBC, 10000000
CDDB.CBD.BAA...D||.AAC.BC, 10000000
CDDB.CBDDBAA....||.AAC.BC, 10000000
CDDB.CBDDBAA....||.AA.CBC, 10000000
CDDB.CBDDBAA...C||.AA..BC, 10000000
CDDB..BD.BAA...C||.AACBDC, 10000000
CDDB.CBD.BAA...C||.AA.BDC, 10000000
CDDBBCBD...A...C||.AABADC, 10000000
CDDBBCBD..AA...D||.AABC.C, 10000000
CDDBBCBD..AA....||.AABCDC, 10000000
CDDBBCBD..AA...C||.AAB.DC, 10000000
CDDBBCBD...A...C||.AAABDC, 10000000
CDDBBCBD..AA...C||.AA.BDC, 10000000
CDDBBCBD..AA....||.AACBDC, 10000000
CDDBBCBD.BAA....||.AAC.DC, 10000000
CDDBBCBD.BAA...D||.AA.C.C, 10000000
CDDBBCBD.BAA....||.AA.CDC, 10000000
CDDBBCBD.BAA...C||.AA..DC, 10000000
CDDBBCBDDBAA....||.AA..CC, 10000000
CDDBBCBDDBAA...C||.AA...C, 10000000
CDDBBCBDDBAA..CC||.AA...., 10000000
CDDBBCBD.BAA...C||.A.ADC., 10000000
CDDBBCBD..AA...D||.A.ABCC, 10000000
CDDBBCBD.BAA...D||.A.A.CC, 10000000
CDDBBCBD.BAA....||.A.ADCC, 10000000
CDDBBCBD.BAA...C||.A.AD.C, 10000000
CDDBBCBD.BAA..CC||.A.AD.., 10000000
CDDBBCBDDBAA....||.A.ACC., 10000000
CDDBBCBDDBAA....||.A.AC.C, 10000000
CDDBBCBDDBAA...C||.A.AC.., 10000000
CDDBBCBDDBAA...C||.A.A.C., 10000000
CDDBBCBD..AA...C||.A.ABDC, 10000000
CDDBBCBD.BAA...D||.A.AC.C, 10000000
CDDBBCBD.BAA....||.A.ACDC, 10000000
CDDBBCBD.BAA...C||.A.A.DC, 10000000
CDDBBCBDDBAA....||.A.A.CC, 10000000
CDDBBCBDDBAA...C||.A.A..C, 10000000
CDDBBCBDDBAA..CC||.A.A..., 10000000
CDDBBCBDDBAA...C||.A..AC., 10000000
CDDBBCBDDBAA....||.A..ACC, 10000000
CDDBBCBDDBAA...C||.A..A.C, 10000000
CDDBBCBDDBAA..CC||.A..A.., 10000000
CDDB.CBD.BAA...C||.ACBDA., 10000000
CDDB.CBDDBAA....||.ACBCA., 10000000
CDDB.CBDDBAA...C||.ACB.A., 10000000
CDDB..BDDBAA...C||.ACCBA., 10000000
CDDB.CBD.BAA...C||.ACDBA., 10000000
CDDB.CBDDBAA...C||.AC.BA., 10000000
CDDBBCBD..AA...C||.ACDBA., 10000000
CDDBBCBD.BAA....||.ACDCA., 10000000
CDDBBCBD.BAA...C||.ACD.A., 10000000
CDDBBCBD..AA...C||.ACBDA., 10000000
CDDBBCBD.BAA...C||.AC.DA., 10000000
CDDBBCBD..AA...D||.ACCBA., 10000000
CDDBBCBD.BAA...D||.ACC.A., 10000000
CDDBBCBDDBAA....||.ACC.A., 10000000
CDDBBCBDDBAA....||.AC.CA., 10000000
CDDBBCBDDBAA...C||.AC..A., 10000000
CDDBBCBD.BAA...C||.A.CDA., 10000000
CDDBBCBDDBAA....||.A.CCA., 10000000
CDDBBCBDDBAA...C||.A.C.A., 10000000
CDDBBCBDDBAA...C||.A..CA., 10000000
CDDBBCBDDBAA..CC||.A...A., 10000000
..DB.CBD.BAA..CC||.ADBDCA, 10000000
..DB.CBDDBAA..CC||.ADB.CA, 10000000
..DB..BDDBAA..CC||.ADCBCA, 10000000
..DB.CBD.BAA..CC||.ADDBCA, 10000000
..DB.CBDDBAA..CC||.AD.BCA, 10000000
..DBBCBD..AA..CC||.ADDBCA, 10000000
..DBBCBD.BAA..CC||.ADD.CA, 10000000
..DBBCBD..AA..CC||.ADBDCA, 10000000
..DBBCBD.BAA..CC||.AD.DCA, 10000000
..DBBCBDDBAA..CC||.AD..CA, 10000000
...BBCBD.BAA..CC||.ADDDCA, 10000000
...BBCBDDBAA..CC||.ADD.CA, 10000000
..DB.CBD.BAA..CC||.ABDDCA, 10000000
..DB.CBDDBAA..CC||.ABD.CA, 10000000
..DBBCBD.BAA..CC||.A.DDCA, 10000000
..DBBCBDDBAA..CC||.A.D.CA, 10000000
...B.CBDDBAA..CC||.ADBDCA, 10000000
...BBCBDDBAA..CC||.AD.DCA, 10000000
....BCBDDBAA..CC||.ABDDCA, 10000000
...B.CBDDBAA..CC||.ABDDCA, 10000000
...BBCBDDBAA..CC||.A.DDCA, 10000000
..DB..BDDBAA..CC||.ABCDCA, 10000000
..DB.CBDDBAA..CC||.AB.DCA, 10000000
..DB..BDDBAA..CC||.ACBDCA, 10000000
..DB.CBDDBAA..CC||.A.BDCA, 10000000
..DBBCBDDBAA..CC||.A..DCA, 10000000
.DDB..BD.BAA..CC||.ABCDCA, 10000000
.DDB..BDDBAA..CC||.ABC.CA, 10000000
.DDB...DDBAA..CC||.ABBCCA, 10000000
.DDB..BD.BAA..CC||.ABDCCA, 10000000
.DDB..BDDBAA..CC||.AB.CCA, 10000000
.DDB.CBD..AA..CC||.ABDBCA, 10000000
.DDB.CBD.BAA..CC||.ABD.CA, 10000000
.DDB.CBD..AA..CC||.ABBDCA, 10000000
.DDB.CBD.BAA..CC||.AB.DCA, 10000000
.DDB.CBDDBAA..CC||.AB..CA, 10000000
.DDB..BD.BAA..CC||.ACBDCA, 10000000
.DDB..BDDBAA..CC||.ACB.CA, 10000000
.DDB.CBD.BAA..CC||.A.BDCA, 10000000
.DDB.CBDDBAA..CC||.A.B.CA, 10000000
...B.CBDDBAA..CC||.ADDBCA, 10000000
..DB..BDDBAA..CC||.ACDBCA, 10000000
..DB.CBDDBAA..CC||.A.DBCA, 10000000
.DDB...DDBAA..CC||.ACBBCA, 10000000
.DDB..BD.BAA..CC||.ACDBCA, 10000000
.DDB..BDDBAA..CC||.AC.BCA, 10000000
.DDB...DDBAA..CC||.ABCBCA, 10000000
.DDB..BDDBAA..CC||.A.CBCA, 10000000
.DDB..BD.BAA..CC||.ADCBCA, 10000000
.DDB.CBD..AA..CC||.ADBBCA, 10000000
.DDB.CBD.BAA..CC||.AD.BCA, 10000000
.DDB.CBD.BAA..CC||.A.DBCA, 10000000
.DDB.CBDDBAA..CC||.A..BCA, 10000000
.DDB.CBD.BAA..CC||.ADB.CA, 10000000
.DDBBCBD...A..CC||.ADBACA, 10000000
.DDBBCBD..AA..CC||.ADB.CA, 10000000
.DDBBCBD...A..CC||.ADABCA, 10000000
.DDBBCBD..AA..CC||.AD.BCA, 10000000
.DDBBCBD..AA...C||.ADCBCA, 10000000
.DDBBCBD.BAA....||.ADCCCA, 10000000
.DDBBCBD.BAA...C||.ADC.CA, 10000000
.DDBBCBD.BAA..CC||.AD..CA, 10000000
.DDBBCBD..AA..CC||.A.DBCA, 10000000
.DDBBCBD.BAA..CC||.A.D.CA, 10000000
.DDBBCBD...A..CC||.ABADCA, 10000000
.DDBBCBD..AA..CC||.AB.DCA, 10000000
.DDBBCBD..AA..CC||.A.BDCA, 10000000
.DDBBCBD.BAA..CC||.A..DCA, 10000000
.DDBBCBDDBAA..CC||.A...CA, 10000000
..DB.CBD.BAA..CC||.ADCDBA, 10000000
..DB.CBDDBAA...C||.ADCCBA, 10000000
..DB.CBDDBAA..CC||.ADC.BA, 10000000
.DDB.CBD.BAA..CC||.A.CDBA, 10000000
.DDB.CBDDBAA...C||.A.CCBA, 10000000
.DDB.CBDDBAA..CC||.A.C.BA, 10000000
..DB..BDDBAA..CC||.ADCCBA, 10000000
..DB.CBD.BAA..CC||.ADDCBA, 10000000
..DB.CBDDBAA..CC||.AD.CBA, 10000000
...B.CBDDBAA..CC||.ADDCBA, 10000000
..DB..BDDBAA..CC||.ACDCBA, 10000000
..DB.CBDDBAA..CC||.A.DCBA, 10000000
.DDB...DDBAA..CC||.ABCCBA, 10000000
.DDB..BDDBAA..CC||.A.CCBA, 10000000
.DDB..BD.BAA..CC||.ADCCBA, 10000000
.DDB.CBD..AA..CC||.ADBCBA, 10000000
.DDB.CBD.BAA..CC||.AD.CBA, 10000000
.DDB.CBD.BAA..CC||.A.DCBA, 10000000
.DDB.CBDDBAA..CC||.A..CBA, 10000000
CDDB...D.BAA..CC||.ACBDBA, 10000000
CDDB...DDBAA...C||.ACBCBA, 10000000
CDDB...DDBAA..CC||.ACB.BA, 10000000
CDDB....DBAA..CC||.ACDBBA, 10000000
CDDB...D.BAA..CC||.ACDBBA, 10000000
CDDB...DDBAA..CC||.AC.BBA, 10000000
CDDB..BD..AA..CC||.ACDBBA, 10000000
CDDB..BD.BAA...C||.ACDCBA, 10000000
CDDB..BD.BAA..CC||.ACD.BA, 10000000
CDDB..BD..AA..CC||.ACBDBA, 10000000
CDDB..BD.BAA..CC||.AC.DBA, 10000000
